#clade_name	NCBI_tax_id	additional_species	DM055	LG050	DM093	LG049	LG006	LG043	DM004	DM057	DM025	LG023	LG030	DM001	DM063	DM074	LG052	LG045	DM065	DM008	LG025	DM046	LG038	DM019	LG046	DM007	DM087	DM051	LG026	LG034	DM002	LG001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|		0.05584	0.41913	8.151	7.86904	6.19247	1.7993	7.01299	0.83847	6.13914	0.87493	3.59221	9.94023	3.90126	0.15161	1.73082	33.44879	0.20718	5.27658	10.93799	13.04573	7.48147	0.49529	1.03125	2.84999	24.53339	0.25578	11.82408	9.10378	2.66625	1.0024
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822		0.04784	0.03961	0.3276	0.08693	0.07348	0.09558	0.14003	0.17178	0.0442	0.00598	0.01566	0.05585	0.04456	0.02309	0.02477	0.12096	0.01465	0.23296	0.09627	0.03353	0.0845	0.01214	0.1495	0.11508	0.45658	0.00618	0.07076	0.13831	0.02999	0.05571
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037		0.00272	6e-05	0.02194	0.00204		0.0129			0.00115			0.00933		0.00995	0.00577	0.02121	0.00318	0.00203			0.00064	0.00482	0.00272	0.00082	0.16556	0.0115	0.00062		0.00261	0.0047
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified	2|95818||		0.00221		0.00493	0.00203		0.00221					0.00471			0.00372	0.00377	0.00433					0.0034	0.00424			0.02941		0.00073		0.00894	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552		75.8545	59.42486	18.44703	29.34957	39.57262	4.55566	48.20401	45.6897	24.37806	73.87644	56.37757	29.38271	35.80305	48.02361	68.56796	1.03357	66.63453	23.43623	19.45032	51.36957	16.01404	74.22561	13.11868	62.38523	4.72622	43.63768	3.33168	46.48456	34.74205	64.67733
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803		7.09173	4.79004	17.09895	14.05974	17.6781	16.1434	13.41811	15.12306	18.14503	4.00517	11.86476	11.16474	14.17887	6.65386	8.66815	4.13211	11.76638	17.34495	6.80627	7.60313	11.27802	4.51486	14.67435	7.6836	17.77407	5.79593	13.10146	5.77566	7.04652	4.17167
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977		3.16724	1.13772	0.04944	0.57343	0.03058	0.00754	0.0533	0.28199	0.41047	0.8177	0.01117	1.16848	0.45868	5.92032	2.21579	0.04793	0.7085	1.25393	1.25199	0.01293	0.02771	1.75664	0.05606	0.66476	0.01003	0.35297	0.08947	1.9147	2.13741	0.03412
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815		2.70619	3.33534	6.33592	2.11863	1.9853	11.40519	3.13536	1.8813	2.64218	4.2899	0.99013	5.2817	0.5352	4.32368	7.51068	3.20967	0.65536	6.60578	1.46739	5.87835	9.57389	3.55841	17.24999	6.44249	9.69787	3.00148	6.00934	6.25367	5.95125	10.61633
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000		2.31132	2.70576	19.66909	22.70589	8.21176	5.38469	8.77512	7.9185	9.68194	3.9042	11.43715	15.95928	9.28204	5.30786	3.50029	32.16752	4.84719	8.86781	16.87229	8.83984	16.41845	2.7335	13.93134	5.38582	15.02884	4.41358	15.89081	13.68382	6.26219	8.4058
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827		2.2522	0.05418	0.67534	0.76057	3.52245	1.68584	1.29617	0.44085	1.36433	0.63899	0.45243	0.19079	1.50265	1.25393	1.30579	0.70413	1.49418	2.69204	0.68732	0.77321	0.50719	0.53586	0.61678	2.67188	3.11642	0.89293	0.33395	0.07962	1.86428	0.54424
